Categoría,Nivel,Español (Latino),Inglés
Viajes,Baja,Avión,Plane
Viajes,Baja,Barco,Boat
Viajes,Baja,Tren,Train
Viajes,Baja,Auto,Car
Viajes,Baja,Bus,Bus
Viajes,Baja,Bicicleta,Bike
Viajes,Baja,Caminando,Walking
Viajes,Baja,Moto,Moto
Viajes,Baja,Taxi,Taxi
Viajes,Baja,Uber,Uber
Viajes,Baja,Metro,Subway
Viajes,Baja,Subte,Metro
Viajes,Baja,Crucero,Cruise
Viajes,Baja,Velero,Sailboat
Viajes,Baja,Lancha,Speedboat
Viajes,Baja,Canoa,Canoe
Viajes,Baja,Jet,Jet
Viajes,Baja,Globo,Balloon
Viajes,Baja,Helicóptero,Helicopter
Viajes,Baja,Cohete,Rocket
Viajes,Baja,Maleta,Suitcase
Viajes,Baja,Mochila,Backpack
Viajes,Baja,Bolso,Bag
Viajes,Baja,Cartera,Wallet
Viajes,Baja,Pasaporte,Passport
Viajes,Baja,Visa,Visa
Viajes,Baja,DNI,ID
Viajes,Baja,Pasaje,Ticket
Viajes,Baja,Ticket,Pass
Viajes,Baja,Boleto,Stub
Viajes,Baja,Mapa,Map
Viajes,Baja,Brújula,Compass
Viajes,Baja,GPS,GPS
Viajes,Baja,Hotel,Hotel
Viajes,Baja,Hostel,Hostel
Viajes,Baja,Carpa,Tent
Viajes,Baja,Camping,Camping
Viajes,Baja,Playa,Beach
Viajes,Baja,Montaña,Mountain
Viajes,Baja,Bosque,Forest
Viajes,Baja,Selva,Jungle
Viajes,Baja,Desierto,Desert
Viajes,Baja,Ciudad,City
Viajes,Baja,Pueblo,Town
Viajes,Baja,Campo,Farm
Viajes,Baja,Isla,Island
Viajes,Baja,Lago,Lake
Viajes,Baja,Río,River
Viajes,Baja,Mar,Sea
Viajes,Baja,Océano,Ocean
Viajes,Baja,Pileta,Pool
Viajes,Baja,Sol,Sun
Viajes,Baja,Lluvia,Rain
Viajes,Baja,Nieve,Snow
Viajes,Baja,Viento,Wind
Viajes,Baja,Calor,Heat
Viajes,Baja,Frío,Cold
Viajes,Baja,Verano,Summer
Viajes,Baja,Invierno,Winter
Viajes,Baja,Otoño,Autumn
Viajes,Baja,Primavera,Spring
Viajes,Baja,Turista,Tourist
Viajes,Baja,Guía,Guide
Viajes,Baja,Camara,Camera
Viajes,Baja,Foto,Photo
Viajes,Baja,Video,Video
Viajes,Baja,Recuerdo,Memory
Viajes,Baja,Souvenir,Souvenir
Viajes,Baja,Regalo,Gift
Viajes,Baja,Postal,Postcard
Viajes,Baja,Carta,Letter
Viajes,Baja,Email,Email
Viajes,Baja,Wifi,Wifi
Viajes,Baja,Roaming,Roaming
Viajes,Baja,Chip,Sim
Viajes,Baja,Cargador,Charger
Viajes,Baja,Adaptador,Adapter
Viajes,Baja,Enchufe,Plug
Viajes,Baja,Batería,Battery
Viajes,Baja,Lentes,Glasses
Viajes,Baja,Gorra,Cap
Viajes,Baja,Sombrero,Hat
Viajes,Baja,Protector,Sunscreen
Viajes,Baja,Bronceador,Tanning
Viajes,Baja,Toalla,Towel
Viajes,Baja,Biquini,Bikini
Viajes,Baja,Malla,Swimsuit
Viajes,Baja,Ojotas,Flipflops
Viajes,Baja,Sandalias,Sandals
Viajes,Baja,Zapatillas,Sneakers
Viajes,Baja,Botas,Boots
Viajes,Baja,Campera,Jacket
Viajes,Baja,Bufanda,Scarf
Viajes,Baja,Guantes,Gloves
Viajes,Baja,Paraguas,Umbrella
Viajes,Baja,Piloto,Raincoat
Viajes,Baja,Valija,Luggage
Viajes,Baja,Ruedas,Wheels
Viajes,Baja,Aeropuerto,Airport
Viajes,Baja,Puerto,Port
Viajes,Media,Hacer valija,Packing bags
Viajes,Media,Perder vuelo,Missing flight
Viajes,Media,Tomar taxi,Taking taxi
Viajes,Media,Esperar bus,Waiting bus
Viajes,Media,Comprar pasaje,Buying ticket
Viajes,Media,Hacer checkin,Checking in
Viajes,Media,Pasar aduana,Customs pass
Viajes,Media,Mostrar pasaporte,Show passport
Viajes,Media,Sacar foto,Taking photo
Viajes,Media,Filmar video,Filming video
Viajes,Media,Comer raro,Eating weird
Viajes,Media,Probar comida,Tasting food
Viajes,Media,Dormir hotel,Hotel sleep
Viajes,Media,Armar carpa,Pitching tent
Viajes,Media,Prender fuego,Lighting fire
Viajes,Media,Nadar mar,Sea swim
Viajes,Media,Subir montaña,Climbing mt
Viajes,Media,Caminar mucho,Walking lot
Viajes,Media,Alquilar auto,Renting car
Viajes,Media,Manejar ruta,Driving road
Viajes,Media,Poner nafta,Gas fill
Viajes,Media,Pagar peaje,Paying toll
Viajes,Media,Perderse calle,Getting lost
Viajes,Media,Pedir ayuda,Asking help
Viajes,Media,Leer mapa,Reading map
Viajes,Media,Usar traductor,Translator use
Viajes,Media,Hablar idioma,Speaking lang
Viajes,Media,Comprar regalo,Buying gift
Viajes,Media,Mandar postal,Sending card
Viajes,Media,Llamar casa,Calling home
Viajes,Media,Extrañar casa,Missing home
Viajes,Media,Conocer gente,Meeting ppl
Viajes,Media,Hacer amigos,Making friends
Viajes,Media,Bailar noche,Night dance
Viajes,Media,Tomar trago,Drinking drink
Viajes,Media,Broncearse sol,Suntanning
Viajes,Media,Quemar piel,Sunburning
Viajes,Media,Poner crema,Cream apply
Viajes,Media,Usar lentes,Glasses use
Viajes,Media,Perder lentes,Losing glasses
Viajes,Media,Perder gorra,Losing cap
Viajes,Media,Romper ojota,Flipflop break
Viajes,Media,Llenar arena,Sand everywhere
Viajes,Media,Sacudir toalla,Shaking towel
Viajes,Media,Cruzar calle,Crossing street
Viajes,Media,Subir metro,Subway enter
Viajes,Media,Bajar subte,Subway exit
Viajes,Media,Esperar tren,Waiting train
Viajes,Media,Correr tren,Running train
Viajes,Media,Perder tren,Missing train
Viajes,Media,Vuelo demorado,Flight delayed
Viajes,Media,Maleta perdida,Luggage lost
Viajes,Media,Valija rota,Broken bag
Viajes,Media,Olvidar cargador,Forgot charger
Viajes,Media,Sin batería,No battery
Viajes,Media,Sin señal,No signal
Viajes,Media,Sin wifi,No wifi
Viajes,Media,Buscar baño,Finding WC
