Categoría,Nivel,Español (Latino),Inglés
Profesiones,Baja,Doctor,Doctor
Profesiones,Baja,Maestro,Teacher
Profesiones,Baja,Policía,Police
Profesiones,Baja,Bombero,Firefighter
Profesiones,Baja,Cocinero,Chef
Profesiones,Baja,Mecánico,Mechanic
Profesiones,Baja,Pintor,Painter
Profesiones,Baja,Payaso,Clown
Profesiones,Baja,Mago,Magician
Profesiones,Baja,Astronauta,Astronaut
Profesiones,Baja,Juez,Judge
Profesiones,Baja,Dentista,Dentist
Profesiones,Baja,Granjero,Farmer
Profesiones,Baja,Actor,Actor
Profesiones,Baja,Cantante,Singer
Profesiones,Baja,Soldado,Soldier
Profesiones,Baja,Enfermera,Nurse
Profesiones,Baja,Arquitecto,Architect
Profesiones,Baja,Fotógrafo,Photographer
Profesiones,Baja,Carpintero,Carpenter
Profesiones,Baja,Fiscal,Prosecutor
Profesiones,Baja,Notario,Notary
Profesiones,Baja,Albañil,Mason
Profesiones,Baja,Plomero,Plumber
Profesiones,Baja,Gasista,Gasfitter
Profesiones,Baja,Fletero,Mover
Profesiones,Baja,Taxista,Taxi driver
Profesiones,Baja,Chofer,Chauffeur
Profesiones,Baja,Piloto,Pilot
Profesiones,Baja,Azafata,Stewardess
Profesiones,Baja,Capitán,Captain
Profesiones,Baja,Marinero,Sailor
Profesiones,Baja,Buzo,Diver
Profesiones,Baja,Minero,Miner
Profesiones,Baja,Leñador,Lumberjack
Profesiones,Baja,Herrero,Blacksmith
Profesiones,Baja,Sastre,Tailor
Profesiones,Baja,Modista,Dressmaker
Profesiones,Baja,Modelo,Model
Profesiones,Baja,Mimo,Mime
Profesiones,Baja,Acróbata,Acrobat
Profesiones,Baja,Atleta,Athlete
Profesiones,Baja,Coach,Coach
Profesiones,Baja,Árbitro,Referee
Profesiones,Baja,Caddy,Caddy
Profesiones,Baja,Cura,Priest
Profesiones,Baja,Monja,Nun
Profesiones,Baja,Pastor,Pastor
Profesiones,Baja,Rabino,Rabbi
Profesiones,Baja,Imán,Imam
Profesiones,Baja,Filósofo,Philosopher
Profesiones,Baja,Escritor,Writer
Profesiones,Baja,Poeta,Poet
Profesiones,Baja,Periodista,Journalist
Profesiones,Baja,Locutor,Announcer
Profesiones,Baja,Editor,Editor
Profesiones,Baja,Director,Director
Profesiones,Baja,Productor,Producer
Profesiones,Baja,Guionista,Screenwriter
Profesiones,Baja,Camarógrafo,Cameraman
Profesiones,Baja,Sonidista,Soundman
Profesiones,Baja,Iluminador,Lighter
Profesiones,Baja,Vestuarista,Costume
Profesiones,Baja,Maquillador,Makeup
Profesiones,Baja,Peluquero,Hairdresser
Profesiones,Baja,Barbero,Barber
Profesiones,Baja,Masajista,Masseur
Profesiones,Baja,Kinesiólogo,Kinesiologist
Profesiones,Baja,Psicólogo,Psychologist
Profesiones,Baja,Psiquiatra,Psychiatrist
Profesiones,Baja,Cirujano,Surgeon
Profesiones,Baja,Pediatra,Pediatrician
Profesiones,Baja,Ginecólogo,Gynecologist
Profesiones,Baja,Oculista,Oculist
Profesiones,Baja,Cardiólogo,Cardiologist
Profesiones,Baja,Dermatólogo,Dermatologist
Profesiones,Baja,Nutricionista,Nutritionist
Profesiones,Baja,Farmacéutico,Pharmacist
Profesiones,Baja,Bioquímico,Biochemist
Profesiones,Baja,Científico,Scientist
Profesiones,Baja,Biólogo,Biologist
Profesiones,Baja,Químico,Chemist
Profesiones,Baja,Físico,Physicist
Profesiones,Baja,Matemático,Mathematician
Profesiones,Baja,Astrónomo,Astronomer
Profesiones,Baja,Historiador,Historian
Profesiones,Baja,Geógrafo,Geographer
Profesiones,Baja,Arqueólogo,Archaeologist
Profesiones,Baja,Antropólogo,Anthropologist
Profesiones,Baja,Sociólogo,Sociologist
Profesiones,Baja,Abogado,Lawyer
Profesiones,Baja,Contador,Accountant
Profesiones,Baja,Administrador,Manager
Profesiones,Baja,Economista,Economist
Profesiones,Baja,Banquero,Banker
Profesiones,Baja,Cajero,Teller
Profesiones,Baja,Vendedor,Salesman
Profesiones,Baja,Gerente,Manager
Profesiones,Baja,Dueño,Owner
Profesiones,Baja,Presidente,President
Profesiones,Media,Apagar incendio,Fighting fire
Profesiones,Media,Operar paciente,Operating patient
Profesiones,Media,Dirigir tráfico,Directing traffic
Profesiones,Media,Sacar muela,Pulling tooth
Profesiones,Media,Enseñar mate,Teaching math
Profesiones,Media,Cocinar sopa,Cooking soup
Profesiones,Media,Arreglar auto,Fixing car
Profesiones,Media,Ordeñar vaca,Milking cow
Profesiones,Media,Sacar foto,Taking photo
Profesiones,Media,Construir pared,Building wall
Profesiones,Media,Escribir multa,Writing ticket
Profesiones,Media,Enseñar leer,Teaching reading
Profesiones,Media,Pintar cuadro,Painting art
Profesiones,Media,Servir café,Serving coffee
Profesiones,Media,Contar dinero,Counting money
Profesiones,Media,Arreglar tubería,Fixing pipe
Profesiones,Media,Sembrar semillas,Sowing seeds
Profesiones,Media,Cortar leña,Chopping wood
Profesiones,Media,Hacer vestido,Making dress
Profesiones,Media,Maquillar novia,Bridal makeup
Profesiones,Media,Tomar presión,Checking BP
Profesiones,Media,Dar masaje,Giving massage
Profesiones,Media,Hacer planos,Drawing plans
Profesiones,Media,Programar código,Coding
Profesiones,Media,Diseñar logo,Designing logo
Profesiones,Media,Manejar avión,Flying plane
Profesiones,Media,Servir comida,Serving food
Profesiones,Media,Manejar barco,Sailing boat
Profesiones,Media,Bajar mina,Mining down
Profesiones,Media,Forjar espada,Forging sword
Profesiones,Media,Coser botón,Sewing button
Profesiones,Media,Desfilar ropa,Modeling clothes
Profesiones,Media,Hacer malabares,Juggling
Profesiones,Media,Entrenar equipo,Coaching team
Profesiones,Media,Cobrar falta,Calling foul
Profesiones,Media,Llevar palos,Carrying clubs
Profesiones,Media,Dar misa,Giving mass
Profesiones,Media,Escribir libro,Writing book
Profesiones,Media,Leer noticias,Reading news
Profesiones,Media,Editar video,Editing video
Profesiones,Media,Filmar escena,Filming scene
Profesiones,Media,Cortar pelo,Cutting hair
Profesiones,Media,Afeitar barba,Shaving beard
Profesiones,Media,Hacer terapia,Doing therapy
Profesiones,Media,Recetar remedio,Prescribing meds
Profesiones,Media,Analizar sangre,Analyzing blood
Profesiones,Media,Hacer experimento,Doing experiment
Profesiones,Media,Mirar estrellas,Stargazing
Profesiones,Media,Excavar hueso,Digging bone
Profesiones,Media,Defender juicio,Defending court
Profesiones,Media,Contar impuestos,Auditing tax
Profesiones,Media,Depositar cheque,Depositing check
Profesiones,Media,Vender producto,Selling product
Profesiones,Media,Firmar contrato,Signing contract
Profesiones,Media,Mandar mail,Sending email
Profesiones,Media,Hacer reunión,Holding meeting
Profesiones,Media,Despedir empleado,Firing employee
Profesiones,Media,Contratar gente,Hiring people
Profesiones,Media,Pedir aumento,Asking raise
Profesiones,Media,Renunciar trabajo,Quitting job
Profesiones,Media,Buscar trabajo,Job hunting
Profesiones,Media,Hacer currículum,Making resume
Profesiones,Media,Tener entrevista,Interviewing
Profesiones,Media,Cobrar sueldo,Getting paid
Profesiones,Media,Pagar sueldo,Paying wages
Profesiones,Media,Hacer huelga,Striking
Profesiones,Media,Tomar examen,Examining
Profesiones,Media,Corregir prueba,Grading test
Profesiones,Media,Borrar pizarrón,Erasing board
Profesiones,Media,Llamar lista,Roll call
Profesiones,Media,Retar alumno,Scolding student
Profesiones,Media,Arrestar ladrón,Arresting thief
Profesiones,Media,Patrullar calle,Patrolling street
Profesiones,Media,Disparar arma,Shooting gun
Profesiones,Media,Usar esposas,Using cuffs
Profesiones,Media,Manejar patrulla,Driving squad
Profesiones,Media,Rescatar gato,Rescuing cat
Profesiones,Media,Salvar vida,Saving life
Profesiones,Media,Hacer RCP,Doing CPR
Profesiones,Media,Poner inyección,Injecting shot
Profesiones,Media,Sacar sangre,Drawing blood
Profesiones,Media,Coser herida,Stitching wound
Profesiones,Media,Poner yeso,Casting arm
Profesiones,Media,Sacar radiografía,Xraying
Profesiones,Media,Hacer ecografía,Ultrasound
Profesiones,Media,Recetar lentes,Rx glasses
Profesiones,Media,Arreglar caries,Fixing cavity
Profesiones,Media,Poner frenillos,Braces on
Profesiones,Media,Hacer limpieza,Cleaning teeth
Profesiones,Media,Anestesiar,Anesthetizing
Profesiones,Media,Sacar diente,Extracting tooth
Profesiones,Media,Hacer puente,Making bridge
Profesiones,Media,Poner corona,Crowning tooth
Profesiones,Media,Limpiar sarro,Cleaning tartar
Profesiones,Media,Hacer consulta,Consulting
Profesiones,Media,Job Extra L2 95,Job Extra L2 95
Profesiones,Media,Job Extra L2 96,Job Extra L2 96
Profesiones,Media,Job Extra L2 97,Job Extra L2 97
Profesiones,Media,Job Extra L2 98,Job Extra L2 98
Profesiones,Media,Job Extra L2 99,Job Extra L2 99
Profesiones,Alta,Dentista miedo dientes,Dentist afraid teeth
Profesiones,Alta,Bombero miedo fuego,Firefighter fear fire
